transaction_id,customer_id,transaction_date,merchant_name,merchant_category,amount,currency,transaction_type,location,is_international,description
TXN001,1001,"2024-01-15 10:23:45","Amazon Japan","ONLINE_SHOPPING",15800,"JPY","PURCHASE","Tokyo",false,"Electronics purchase - wireless earbuds"
TXN002,1001,"2024-01-15 14:30:00","Starbucks Shibuya","FOOD_BEVERAGE",850,"JPY","PURCHASE","Tokyo",false,"Coffee and snack"
TXN003,1002,"2024-01-16 09:15:22","JR East","TRANSPORTATION",2500,"JPY","PURCHASE","Tokyo",false,"Monthly commuter pass reload"
TXN004,1003,"2024-01-16 22:45:00","Online Casino XYZ","GAMBLING",250000,"JPY","PURCHASE","Unknown",true,"Online gaming transaction"
TXN005,1003,"2024-01-16 23:10:00","Online Casino XYZ","GAMBLING",180000,"JPY","PURCHASE","Unknown",true,"Online gaming transaction"
TXN006,1004,"2024-01-17 11:00:00","Lawson Minato","CONVENIENCE_STORE",1200,"JPY","PURCHASE","Tokyo",false,"Lunch and drinks"
TXN007,1005,"2024-01-17 15:30:00","Apple Store Ginza","ELECTRONICS",198000,"JPY","PURCHASE","Tokyo",false,"iPhone 15 Pro purchase"
TXN008,1001,"2024-01-18 03:00:00","ATM Withdrawal","ATM",500000,"JPY","WITHDRAWAL","Lagos",true,"Overseas ATM withdrawal"
TXN009,1006,"2024-01-18 12:00:00","Isetan Shinjuku","DEPARTMENT_STORE",45000,"JPY","PURCHASE","Tokyo",false,"Fashion items"
TXN010,1007,"2024-01-18 19:30:00","Uber Eats","FOOD_DELIVERY",3200,"JPY","PURCHASE","Tokyo",false,"Food delivery order"
TXN011,1008,"2024-01-19 08:00:00","ANA Airlines","TRAVEL",125000,"JPY","PURCHASE","Tokyo",false,"Flight ticket to Osaka"
TXN012,1003,"2024-01-19 02:30:00","Crypto Exchange ABC","CRYPTOCURRENCY",500000,"JPY","PURCHASE","Unknown",true,"Cryptocurrency purchase"
TXN013,1009,"2024-01-19 16:45:00","Don Quijote Akihabara","DISCOUNT_STORE",8900,"JPY","PURCHASE","Tokyo",false,"Various household items"
TXN014,1010,"2024-01-20 10:00:00","Rakuten Travel","TRAVEL",35000,"JPY","PURCHASE","Tokyo",false,"Hotel reservation"
TXN015,1001,"2024-01-20 04:15:00","Unknown Merchant","UNKNOWN",300000,"JPY","PURCHASE","Moscow",true,"Suspicious overseas transaction"
TXN016,1011,"2024-01-20 13:00:00","Costco Makuhari","WHOLESALE",28000,"JPY","PURCHASE","Chiba",false,"Bulk grocery shopping"
TXN017,1012,"2024-01-21 11:30:00","Netflix","SUBSCRIPTION",1980,"JPY","RECURRING","Tokyo",false,"Monthly subscription"
TXN018,1013,"2024-01-21 20:00:00","Hilton Tokyo","HOTEL",85000,"JPY","PURCHASE","Tokyo",false,"Hotel stay for business"
TXN019,1003,"2024-01-21 23:55:00","Wire Transfer","TRANSFER",1000000,"JPY","TRANSFER","Cayman Islands",true,"International wire transfer"
TXN020,1014,"2024-01-22 09:00:00","Muji Yurakucho","RETAIL",5600,"JPY","PURCHASE","Tokyo",false,"Stationery and home goods"
TXN021,1015,"2024-01-22 14:00:00","Yamada Denki","ELECTRONICS",89000,"JPY","PURCHASE","Tokyo",false,"Television purchase"
TXN022,1001,"2024-01-22 04:30:00","ATM Withdrawal","ATM",200000,"JPY","WITHDRAWAL","Kiev",true,"Overseas ATM withdrawal"
TXN023,1002,"2024-01-23 12:30:00","Matsuya Ginza","RESTAURANT",1500,"JPY","PURCHASE","Tokyo",false,"Lunch at beef bowl restaurant"
TXN024,1005,"2024-01-23 18:00:00","Tokyu Hands Shibuya","RETAIL",12000,"JPY","PURCHASE","Tokyo",false,"DIY supplies"
TXN025,1008,"2024-01-24 10:00:00","Shinkansen Ticket","TRANSPORTATION",28000,"JPY","PURCHASE","Tokyo",false,"Round trip to Kyoto"